# Tutorial-scale subset of Cenozoic planktonic foraminifera occurrences.
# Shape mirrors PBDB / Neptune Sandbox exports: occurrence_no, site, lon, lat, age_ma, genus, species, biome.
# For full PBDB pull see: https://paleobiodb.org/data1.2/occs/list.csv?base_name=Globigerinoidea,Globorotaliidae&interval=Cenozoic&show=coords,age
occurrence_no,site,lon,lat,age_ma,genus,species,biome
352,DSDP-577,157.7,32.4,55.91,Acarinina,soldadoensis,subtropical
353,DSDP-525,2.9,-29.1,49.51,Acarinina,soldadoensis,subtropical
354,ODP-1218,-135.4,8.9,59.44,Acarinina,soldadoensis,subtropical
355,DSDP-577,157.7,32.4,52.19,Acarinina,soldadoensis,subtropical
356,ODP-806,159.4,0.3,55.19,Acarinina,soldadoensis,subtropical
357,IODP-U1338,-117.9,2.5,45.68,Hantkenina,alabamensis,tropical
358,ODP-1218,-135.4,8.9,45.92,Hantkenina,alabamensis,tropical
359,IODP-U1448,90.4,10.8,46.64,Hantkenina,alabamensis,tropical
360,DSDP-289,158.5,-1.0,41.02,Hantkenina,alabamensis,tropical
361,ODP-806,159.4,0.3,43.68,Hantkenina,alabamensis,tropical
362,IODP-U1338,-117.9,2.5,39.19,Hantkenina,alabamensis,tropical
363,IODP-U1338,-117.9,2.5,48.28,Hantkenina,alabamensis,tropical
364,DSDP-525,2.9,-29.1,48.02,Hantkenina,alabamensis,tropical
365,ODP-758,90.4,5.4,47.61,Hantkenina,alabamensis,tropical
366,ODP-925,-43.5,4.2,44.74,Hantkenina,alabamensis,tropical
367,DSDP-289,158.5,-1.0,41.22,Hantkenina,alabamensis,tropical
368,DSDP-289,158.5,-1.0,40.58,Hantkenina,alabamensis,tropical
369,ODP-925,-43.5,4.2,38.31,Hantkenina,alabamensis,tropical
370,ODP-1218,-135.4,8.9,47.12,Hantkenina,alabamensis,tropical
371,ODP-1218,-135.4,8.9,44.5,Hantkenina,alabamensis,tropical
372,ODP-806,159.4,0.3,46.49,Hantkenina,alabamensis,tropical
373,ODP-806,159.4,0.3,38.82,Hantkenina,alabamensis,tropical
374,IODP-U1448,90.4,10.8,37.41,Hantkenina,alabamensis,tropical
375,ODP-1218,-135.4,8.9,46.23,Hantkenina,alabamensis,tropical
376,DSDP-577,157.7,32.4,44.8,Hantkenina,alabamensis,tropical
377,ODP-1218,-135.4,8.9,44.97,Hantkenina,alabamensis,tropical
378,IODP-U1448,90.4,10.8,40.61,Hantkenina,alabamensis,tropical
379,IODP-U1338,-117.9,2.5,45.27,Hantkenina,alabamensis,tropical
380,IODP-U1338,-117.9,2.5,44.26,Hantkenina,alabamensis,tropical
381,ODP-925,-43.5,4.2,48.79,Hantkenina,alabamensis,tropical
382,ODP-1218,-135.4,8.9,44.02,Hantkenina,alabamensis,tropical
383,ODP-925,-43.5,4.2,38.56,Hantkenina,alabamensis,tropical
384,DSDP-577,157.7,32.4,39.4,Hantkenina,alabamensis,tropical
385,IODP-U1338,-117.9,2.5,37.73,Hantkenina,alabamensis,tropical
386,IODP-U1448,90.4,10.8,38.31,Hantkenina,alabamensis,tropical
387,DSDP-167,-161.0,7.0,38.34,Hantkenina,alabamensis,tropical
388,IODP-U1448,90.4,10.8,57.86,Globanomalina,pseudomenardii,subtropical
389,DSDP-525,2.9,-29.1,58.61,Globanomalina,pseudomenardii,subtropical
390,ODP-806,159.4,0.3,56.51,Globanomalina,pseudomenardii,subtropical
391,ODP-925,-43.5,4.2,58.65,Globanomalina,pseudomenardii,subtropical
392,DSDP-167,-161.0,7.0,58.21,Globanomalina,pseudomenardii,subtropical
393,DSDP-289,158.5,-1.0,56.13,Globanomalina,pseudomenardii,subtropical
394,DSDP-167,-161.0,7.0,59.59,Globanomalina,pseudomenardii,subtropical
395,DSDP-167,-161.0,7.0,57.01,Globanomalina,pseudomenardii,subtropical
396,DSDP-525,2.9,-29.1,56.53,Globanomalina,pseudomenardii,subtropical
397,IODP-U1448,90.4,10.8,56.0,Globanomalina,pseudomenardii,subtropical
398,IODP-U1338,-117.9,2.5,57.88,Globanomalina,pseudomenardii,subtropical
399,DSDP-525,2.9,-29.1,59.68,Globanomalina,pseudomenardii,subtropical
400,ODP-1218,-135.4,8.9,57.07,Globanomalina,pseudomenardii,subtropical
401,DSDP-289,158.5,-1.0,56.43,Globanomalina,pseudomenardii,subtropical
402,IODP-U1338,-117.9,2.5,59.61,Globanomalina,pseudomenardii,subtropical
403,ODP-925,-43.5,4.2,59.99,Globanomalina,pseudomenardii,subtropical
404,DSDP-525,2.9,-29.1,45.5,Globigerinatheka,index,tropical
405,DSDP-167,-161.0,7.0,39.09,Globigerinatheka,index,tropical
406,DSDP-167,-161.0,7.0,40.16,Globigerinatheka,index,tropical
407,DSDP-577,157.7,32.4,40.84,Globigerinatheka,index,tropical
408,DSDP-289,158.5,-1.0,39.53,Globigerinatheka,index,tropical
409,ODP-806,159.4,0.3,48.11,Globigerinatheka,index,tropical
410,DSDP-289,158.5,-1.0,43.88,Globigerinatheka,index,tropical
411,ODP-758,90.4,5.4,41.21,Globigerinatheka,index,tropical
412,DSDP-525,2.9,-29.1,41.87,Globigerinatheka,index,tropical
413,ODP-925,-43.5,4.2,40.43,Globigerinatheka,index,tropical
414,DSDP-525,2.9,-29.1,39.08,Globigerinatheka,index,tropical
415,DSDP-289,158.5,-1.0,42.19,Globigerinatheka,index,tropical
416,DSDP-577,157.7,32.4,43.69,Globigerinatheka,index,tropical
417,IODP-U1448,90.4,10.8,46.94,Globigerinatheka,index,tropical
418,IODP-U1338,-117.9,2.5,38.93,Globigerinatheka,index,tropical
419,ODP-806,159.4,0.3,45.58,Globigerinatheka,index,tropical
420,DSDP-577,157.7,32.4,41.67,Globigerinatheka,index,tropical
421,DSDP-289,158.5,-1.0,43.74,Globigerinatheka,index,tropical
422,DSDP-525,2.9,-29.1,44.5,Globigerinatheka,index,tropical
423,ODP-806,159.4,0.3,39.41,Globigerinatheka,index,tropical
424,DSDP-525,2.9,-29.1,46.48,Globigerinatheka,index,tropical
425,ODP-758,90.4,5.4,41.7,Globigerinatheka,index,tropical
426,ODP-1218,-135.4,8.9,44.01,Globigerinatheka,index,tropical
427,DSDP-525,2.9,-29.1,48.37,Globigerinatheka,index,tropical
428,ODP-758,90.4,5.4,41.1,Globigerinatheka,index,tropical
429,ODP-1218,-135.4,8.9,42.42,Globigerinatheka,index,tropical
430,IODP-U1448,90.4,10.8,38.07,Globigerinatheka,index,tropical
431,DSDP-577,157.7,32.4,48.58,Globigerinatheka,index,tropical
432,DSDP-167,-161.0,7.0,41.66,Globigerinatheka,index,tropical
433,DSDP-167,-161.0,7.0,43.91,Globigerinatheka,index,tropical
434,DSDP-577,157.7,32.4,38.44,Globigerinatheka,index,tropical
435,ODP-758,90.4,5.4,46.42,Globigerinatheka,index,tropical
436,IODP-U1448,90.4,10.8,45.85,Globigerinatheka,index,tropical
437,IODP-U1338,-117.9,2.5,44.77,Globigerinatheka,index,tropical
438,DSDP-289,158.5,-1.0,40.15,Globigerinatheka,index,tropical
439,DSDP-167,-161.0,7.0,40.39,Turborotalia,cerroazulensis,tropical
440,ODP-806,159.4,0.3,43.3,Turborotalia,cerroazulensis,tropical
441,ODP-1218,-135.4,8.9,41.04,Turborotalia,cerroazulensis,tropical
442,IODP-U1338,-117.9,2.5,46.33,Turborotalia,cerroazulensis,tropical
443,IODP-U1448,90.4,10.8,42.68,Turborotalia,cerroazulensis,tropical
444,DSDP-525,2.9,-29.1,34.05,Turborotalia,cerroazulensis,tropical
445,DSDP-525,2.9,-29.1,39.74,Turborotalia,cerroazulensis,tropical
446,ODP-758,90.4,5.4,36.11,Turborotalia,cerroazulensis,tropical
447,IODP-U1448,90.4,10.8,42.38,Turborotalia,cerroazulensis,tropical
448,ODP-925,-43.5,4.2,39.82,Turborotalia,cerroazulensis,tropical
449,ODP-758,90.4,5.4,40.92,Turborotalia,cerroazulensis,tropical
450,DSDP-525,2.9,-29.1,43.19,Turborotalia,cerroazulensis,tropical
451,DSDP-289,158.5,-1.0,37.06,Turborotalia,cerroazulensis,tropical
452,DSDP-525,2.9,-29.1,40.25,Turborotalia,cerroazulensis,tropical
453,DSDP-525,2.9,-29.1,37.55,Turborotalia,cerroazulensis,tropical
454,IODP-U1448,90.4,10.8,38.24,Turborotalia,cerroazulensis,tropical
455,ODP-758,90.4,5.4,46.67,Turborotalia,cerroazulensis,tropical
456,ODP-806,159.4,0.3,40.89,Turborotalia,cerroazulensis,tropical
457,DSDP-577,157.7,32.4,43.16,Turborotalia,cerroazulensis,tropical
458,DSDP-525,2.9,-29.1,38.49,Turborotalia,cerroazulensis,tropical
459,IODP-U1448,90.4,10.8,41.57,Turborotalia,cerroazulensis,tropical
460,ODP-1218,-135.4,8.9,48.37,Turborotalia,cerroazulensis,tropical
461,DSDP-289,158.5,-1.0,45.71,Turborotalia,cerroazulensis,tropical
462,ODP-758,90.4,5.4,42.32,Turborotalia,cerroazulensis,tropical
463,DSDP-577,157.7,32.4,44.35,Turborotalia,cerroazulensis,tropical
464,ODP-1218,-135.4,8.9,39.75,Turborotalia,cerroazulensis,tropical
465,DSDP-577,157.7,32.4,44.33,Turborotalia,cerroazulensis,tropical
466,ODP-806,159.4,0.3,36.48,Turborotalia,cerroazulensis,tropical
467,DSDP-289,158.5,-1.0,34.13,Turborotalia,cerroazulensis,tropical
468,ODP-806,159.4,0.3,36.89,Turborotalia,cerroazulensis,tropical
469,DSDP-167,-161.0,7.0,34.54,Turborotalia,cerroazulensis,tropical
470,DSDP-289,158.5,-1.0,44.34,Turborotalia,cerroazulensis,tropical
471,DSDP-577,157.7,32.4,42.35,Turborotalia,cerroazulensis,tropical
472,ODP-1218,-135.4,8.9,46.35,Turborotalia,cerroazulensis,tropical
473,ODP-806,159.4,0.3,45.52,Turborotalia,cerroazulensis,tropical
474,DSDP-289,158.5,-1.0,35.33,Turborotalia,cerroazulensis,tropical
475,DSDP-289,158.5,-1.0,43.04,Turborotalia,cerroazulensis,tropical
476,ODP-758,90.4,5.4,38.76,Turborotalia,cerroazulensis,tropical
477,DSDP-577,157.7,32.4,37.2,Turborotalia,cerroazulensis,tropical
478,DSDP-289,158.5,-1.0,45.91,Turborotalia,cerroazulensis,tropical
